Date,^GSPC,MSFT,AAPL,AMZN,GOOGL,TSLA,GOOG,META,NVDA,BRK-B,JPM
2021-11-29,4655.27001953125,333.5050048828125,159.31536865234375,178.07850646972656,145.53050231933594,378.9966735839844,146.11399841308594,338.0299987792969,333.49267578125,282.1199951171875,156.29678344726562
2021-11-30,4567.0,327.5210876464844,164.34617614746094,175.35350036621094,141.8975067138672,381.586669921875,142.45199584960938,324.4599914550781,326.498291015625,276.69000244140625,153.97021484375
2021-12-01,4513.0400390625,327.01580810546875,163.81922912597656,172.18600463867188,141.05149841308594,365.0,141.6179962158203,310.6000061035156,314.1366882324219,275.0,153.05897521972656
2021-12-02,4577.10009765625,326.4313049316406,162.8150634765625,171.8679962158203,142.96600341796875,361.5333251953125,143.77650451660156,310.3900146484375,321.0419921875,279.0899963378906,156.27740478515625
2021-12-03,4538.43017578125,320.0114440917969,160.9061279296875,169.489501953125,142.00149536132812,338.3233337402344,142.52049255371094,306.8399963378906,306.7216796875,277.42999267578125,153.44674682617188
2021-12-06,4591.669921875,323.1618957519531,164.36607360839844,171.36849975585938,143.15499877929688,336.336669921875,143.79649353027344,317.8699951171875,300.1661682128906,281.3800048828125,155.259521484375
2021-12-07,4686.75,331.8108825683594,170.19223022460938,176.1645050048828,147.26950073242188,350.5833435058594,148.0364990234375,322.80999755859375,324.0498962402344,284.9700012207031,157.59579467773438
2021-12-08,4701.2099609375,331.8604431152344,174.06973266601562,176.1580047607422,148.18649291992188,356.32000732421875,148.7205047607422,330.55999755859375,318.0440368652344,283.7200012207031,155.79270935058594
2021-12-09,4667.4501953125,330.00775146484375,173.552734375,174.17100524902344,147.6385040283203,334.6000061035156,148.1060028076172,329.82000732421875,304.6930847167969,284.5199890136719,155.55035400390625
2021-12-10,4712.02001953125,339.3601379394531,178.41453552246094,172.21200561523438,148.00149536132812,339.010009765625,148.6750030517578,329.75,301.77508544921875,288.2300109863281,154.92994689941406
2021-12-13,4668.97021484375,336.249267578125,174.72593688964844,169.5675048828125,145.82650756835938,322.13665771484375,146.70449829101562,334.489990234375,281.4189147949219,290.010009765625,153.0880584716797
2021-12-14,4634.08984375,325.2919616699219,173.32406616210938,169.0915069580078,143.90699768066406,319.5033264160156,144.9705047607422,333.739990234375,283.1777038574219,295.0299987792969,154.2610626220703
2021-12-15,4709.85009765625,331.5433654785156,178.265380859375,173.31500244140625,146.4409942626953,325.3299865722656,147.36849975585938,341.6600036621094,304.3832702636719,294.5799865722656,153.10745239257812
2021-12-16,4668.669921875,321.8839111328125,171.2659912109375,168.87100219726562,144.44500732421875,308.97332763671875,144.8385009765625,334.8999938964844,283.6773681640625,300.1700134277344,155.50189208984375
2021-12-17,4620.64013671875,320.7940979003906,170.15248107910156,170.0175018310547,141.72500610351562,310.8566589355469,142.80299377441406,333.7900085449219,277.82135009765625,293.6600036621094,151.96356201171875
2021-12-20,4568.02001953125,316.9402160644531,168.77047729492188,167.07899475097656,141.60699462890625,299.9800109863281,142.40150451660156,325.45001220703125,277.00189208984375,289.6099853515625,149.22984313964844
2021-12-21,4649.22998046875,324.251708984375,171.99179077148438,170.41700744628906,143.47250366210938,312.84332275390625,144.2205047607422,334.20001220703125,290.5527038574219,293.239990234375,151.31407165527344
2021-12-22,4696.56005859375,330.1068420410156,174.62649536132812,171.03700256347656,146.4149932861328,336.2900085449219,146.94900512695312,330.45001220703125,293.80047607421875,294.4100036621094,151.90538024902344
2021-12-23,4725.7900390625,331.5830383300781,175.26280212402344,171.06849670410156,146.91650390625,355.6666564941406,147.1425018310547,335.239990234375,296.1988525390625,294.489990234375,152.44827270507812
2021-12-27,4791.18994140625,339.27099609375,179.28945922851562,169.66949462890625,147.906494140625,364.64666748046875,148.06399536132812,346.17999267578125,309.2400207519531,296.6700134277344,153.3207244873047
2021-12-28,4786.35009765625,338.0821228027344,178.25543212890625,170.66099548339844,146.68699645996094,362.8233337402344,146.447998046875,346.2200012207031,303.01422119140625,298.2900085449219,153.78604125976562
2021-12-29,4793.06005859375,338.7756042480469,178.3449249267578,169.2010040283203,146.65499877929688,362.0633239746094,146.50450134277344,342.94000244140625,299.8064270019531,299.4599914550781,153.70848083496094
2021-12-30,4778.72998046875,336.1700439453125,177.17173767089844,168.64450073242188,146.20050048828125,356.7799987792969,146.00250244140625,344.3599853515625,295.6592102050781,299.9800109863281,153.6309356689453
2021-12-31,4766.18017578125,333.1979064941406,176.5453643798828,166.7169952392578,144.8520050048828,352.260009765625,144.67950439453125,336.3500061035156,293.910400390625,299.0,153.50491333007812
2022-01-03,4796.56005859375,331.6424560546875,180.95974731445312,170.4044952392578,144.9915008544922,399.9266662597656,145.07449340820312,338.5400085449219,301.0055847167969,300.7900085449219,156.7523956298828
2022-01-04,4793.5400390625,325.95574951171875,178.6630859375,167.52200317382812,144.39950561523438,383.1966552734375,144.41650390625,336.5299987792969,292.70123291015625,308.5299987792969,162.69485473632812
2022-01-05,4700.580078125,313.4430236816406,173.91064453125,164.35699462890625,137.77499389648438,362.7066650390625,137.65350341796875,324.1700134277344,275.8526916503906,309.9200134277344,159.720458984375
2022-01-06,4696.0498046875,310.9661560058594,171.00750732421875,163.25399780273438,137.74749755859375,354.8999938964844,137.55099487304688,332.4599914550781,281.5887756347656,313.2200012207031,161.41732788085938
2022-01-07,4677.02978515625,311.1247253417969,171.17654418945312,162.5540008544922,137.01699829101562,342.32000732421875,137.00450134277344,331.7900085449219,272.2851257324219,319.7799987792969,163.0166778564453
