r,baseline25,baseline50,learning25,learning50
0.2,0.05333333333333334,0.0,0.06666666666666667,0.0
0.4,0.05333333333333334,0.0,0.08,0.0
0.6,0.05333333333333334,0.0,0.08,0.0
0.8,0.05333333333333334,0.0,0.09333333333333334,0.0
1.0,0.05333333333333334,0.0,0.13333333333333333,0.0
1.2,0.05333333333333334,0.0,0.4933333333333334,0.12
1.4,0.05333333333333334,0.0,1.0133333333333332,1.3733333333333333
1.6,0.05333333333333334,0.0,2.853333333333333,6.506666666666666
1.8,0.05333333333333334,0.0,5.6,16.13333333333334
2.0,0.05333333333333334,0.0,11.080000000000002,24.733333333333338
2.2,0.05333333333333334,0.0,17.586666666666673,26.68000000000001
2.4,0.05333333333333334,0.0,22.85333333333334,21.880000000000006
2.6,0.05333333333333334,0.0,26.60000000000001,15.706666666666672
2.8,0.05333333333333334,0.0,26.133333333333336,11.30666666666667
3.0,0.05333333333333334,0.0,22.840000000000007,7.373333333333335
3.2,0.05333333333333334,0.0,19.253333333333337,4.733333333333334
3.4,0.05333333333333334,0.0,14.946666666666673,3.0000000000000004
3.6,0.05333333333333334,0.0,11.586666666666668,1.96
3.8,0.05333333333333334,0.0,8.706666666666667,1.3733333333333333
4.0,0.05333333333333334,0.0,6.319999999999999,0.7733333333333332
4.2,0.05333333333333334,0.0,4.72,0.4933333333333334
4.4,0.05333333333333334,0.0,3.4933333333333336,0.33333333333333337
4.6,0.05333333333333334,0.0,2.4,0.26666666666666666
4.8,0.05333333333333334,0.0,1.706666666666667,0.2
5.0,0.05333333333333334,0.0,1.3333333333333335,0.13333333333333333
5.2,0.05333333333333334,0.0,0.9733333333333335,0.09333333333333334
5.4,0.05333333333333334,0.0,0.7866666666666666,0.06666666666666667
5.6,0.05333333333333334,0.0,0.6666666666666667,0.013333333333333334
5.8,0.05333333333333334,0.0,0.48,0.013333333333333334
6.0,0.05333333333333334,0.0,0.4,0.013333333333333334
